" Tirana,  Albania",1715.5,17.916666666666668
" Durrës,  Albania",1715.5,17.916666666666668
" Vlorë,  Albania",1715.5,17.916666666666668
" The Valley,  Anguilla",3965.5,30.133333333333333
" Buenos Aires,  Argentina",2094.5,32.833333333333336
" Córdoba,  Argentina",1976.0,31.633333333333333
" Rosario,  Argentina",2094.5,32.833333333333336
" Yerevan,  Armenia",1743.5,21.25
" Gyumri,  Armenia",1743.5,21.25
" Vanadzor,  Armenia",1743.5,21.25
" Oranjestad,  Aruba",2316.5,30.166666666666668
" Vienna,  Austria",1029.0,20.083333333333332
" Graz,  Austria",1029.0,20.083333333333332
" Linz,  Austria",1029.0,20.083333333333332
" Nassau,  Bahamas",1237.0,31.883333333333333
" Freeport,  Bahamas",1438.0,33.333333333333336
" Bridgetown,  Barbados",2343.0,24.466666666666665
" Brussels,  Belgium",1184.0,18.083333333333332
" Antwerp,  Belgium",1201.0,18.083333333333332
" Ghent,  Belgium",1201.0,18.083333333333332
" Belize City,  Belize",1144.5,33.35
" San Ignacio,  Belize",1144.5,33.35
" Belmopan,  Belize",1144.5,33.35
" Hamilton,  Bermuda",1234.5,32.11666666666667
" Gaborone,  Botswana",5544.5,30.416666666666668
" Molepolole,  Botswana",5544.5,30.416666666666668
" São Paulo,  Brazil",2943.5,30.166666666666668
" Rio de Janeiro,  Brazil",1997.0,26.416666666666668
" Brasília,  Brazil",2338.5,30.666666666666668
" Road Town,  British Virgin Islands",1807.0,34.65
" Bandar Seri Begawan,  Brunei",5548.0,28.416666666666668
" Sofia,  Bulgaria",1550.5,14.833333333333334
" Plovdiv,  Bulgaria",1550.5,14.833333333333334
" Varna,  Bulgaria",1091.0,20.833333333333332
" Santiago,  Chile",1535.0,27.083333333333332
" Valparaíso,  Chile",1535.0,27.083333333333332
" Concepción,  Chile",1535.0,27.083333333333332
" Bogotá,  Colombia",1218.5,21.366666666666667
" Medellín,  Colombia",1385.0,25.716666666666665
" Cali,  Colombia",1336.0,26.5
" Avarua,  Cook Islands",2650.5,47.666666666666664
" San José,  Costa Rica",1181.0,22.933333333333334
" Zagreb,  Croatia",1252.0,18.25
" Split,  Croatia",1615.5,17.75
