" Tirana,  Albania",1478.0,45.53333333333333
" Durrës,  Albania",1478.0,45.53333333333333
" Vlorë,  Albania",1478.0,45.53333333333333
" The Valley,  Anguilla",2620.0,36.583333333333336
" Buenos Aires,  Argentina",1585.5,45.266666666666666
" Córdoba,  Argentina",1794.5,34.166666666666664
" Rosario,  Argentina",1585.5,45.266666666666666
" Yerevan,  Armenia",1291.5,22.083333333333332
" Gyumri,  Armenia",1291.5,22.083333333333332
" Vanadzor,  Armenia",1291.5,22.083333333333332
" Oranjestad,  Aruba",1118.5,32.75
" Vienna,  Austria",736.5,50.166666666666664
" Graz,  Austria",736.5,50.166666666666664
" Linz,  Austria",736.5,50.166666666666664
" Nassau,  Bahamas",1202.5,31.883333333333333
" Freeport,  Bahamas",1315.5,38.583333333333336
" Bridgetown,  Barbados",1385.5,32.5
" Brussels,  Belgium",1068.0,34.166666666666664
" Antwerp,  Belgium",1068.0,34.166666666666664
" Ghent,  Belgium",1068.0,34.166666666666664
" Belize City,  Belize",1081.5,33.35
" San Ignacio,  Belize",1081.5,33.35
" Belmopan,  Belize",1081.5,33.35
" Hamilton,  Bermuda",1234.0,32.11666666666667
" Gaborone,  Botswana",3528.0,36.583333333333336
" Molepolole,  Botswana",3528.0,36.583333333333336
" São Paulo,  Brazil",2038.5,58.0
" Rio de Janeiro,  Brazil",1787.5,27.416666666666668
" Brasília,  Brazil",1683.5,31.166666666666668
" Road Town,  British Virgin Islands",1692.0,34.65
" Bandar Seri Begawan,  Brunei",1549.0,29.666666666666668
" Sofia,  Bulgaria",1202.5,30.25
" Plovdiv,  Bulgaria",1202.5,30.25
" Varna,  Bulgaria",1091.0,25.833333333333332
" Santiago,  Chile",1431.0,28.0
" Valparaíso,  Chile",1431.0,28.0
" Concepción,  Chile",1431.0,28.0
" Bogotá,  Colombia",998.5,29.25
" Medellín,  Colombia",1221.5,33.166666666666664
" Cali,  Colombia",1197.0,33.666666666666664
" Avarua,  Cook Islands",2056.0,47.666666666666664
" San José,  Costa Rica",873.0,32.666666666666664
" Zagreb,  Croatia",964.0,44.416666666666664
" Split,  Croatia",1615.5,17.75
" Rijeka,  Croatia",1461.5,30.666666666666668
" Willemstad,  Curaçao",1243.0,34.46666666666667
" Nicosia,  Cyprus",1862.0,21.083333333333332
" Limassol,  Cyprus",1584.5,23.916666666666668
" Larnaca,  Cyprus",1584.5,23.916666666666668
" Copenhagen,  Denmark",821.5,17.833333333333332
